id,number,displayName,category,subCategory,blocked,accountType,directPosting,lastModifiedDateTime,company_id,company_name
2fdb28a6-90c3-f011-bbd1-6045bdf486d0,1,BASIC FINANCING,_x0020_,,False,Posting,False,2025-11-17T08:37:40.403Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
30db28a6-90c3-f011-bbd1-6045bdf486d0,10,"Capital, Heading",Equity,Recursos propios,False,Posting,False,2025-11-17T08:37:43.187Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
31db28a6-90c3-f011-bbd1-6045bdf486d0,100,"Share Capital, Heading",Equity,Recursos propios,False,Posting,False,2025-11-17T08:37:43.197Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
32db28a6-90c3-f011-bbd1-6045bdf486d0,1000000,Share Capital,Equity,Recursos propios,False,Posting,True,2026-01-26T22:20:50.753Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
33db28a6-90c3-f011-bbd1-6045bdf486d0,101,Social Fund,Equity,Recursos propios,False,Posting,False,2025-11-17T08:37:43.197Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
34db28a6-90c3-f011-bbd1-6045bdf486d0,102,Capital,Equity,Recursos propios,False,Posting,False,2025-11-17T08:37:43.197Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
35db28a6-90c3-f011-bbd1-6045bdf486d0,103,Partners invest. ,Equity,Recursos propios,False,Posting,False,2025-11-17T08:37:43.197Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
36db28a6-90c3-f011-bbd1-6045bdf486d0,1030,"Partners invest., S. Cap.",Equity,Recursos propios,False,Posting,False,2025-11-17T08:37:43.2Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
37db28a6-90c3-f011-bbd1-6045bdf486d0,1034,"Partners invest., P. Cap.",Equity,Recursos propios,False,Posting,False,2025-11-17T08:37:43.2Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
38db28a6-90c3-f011-bbd1-6045bdf486d0,104,Partners Pend Nonmonetary Inv.,Equity,Recursos propios,False,Posting,False,2025-11-17T08:37:43.203Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
39db28a6-90c3-f011-bbd1-6045bdf486d0,1040,"Part Pend Nonmon. Inv, S Cap",Equity,Recursos propios,False,Posting,False,2025-11-17T08:37:43.203Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
3adb28a6-90c3-f011-bbd1-6045bdf486d0,1044,"Part Pend Nonmon. Inv, P Cap",Equity,Recursos propios,False,Posting,False,2025-11-17T08:37:43.203Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
3bdb28a6-90c3-f011-bbd1-6045bdf486d0,108,Shares Special Situations,Equity,Recursos propios,False,Posting,False,2025-11-17T08:37:43.207Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
3cdb28a6-90c3-f011-bbd1-6045bdf486d0,109,Shares Capital Reductions,Equity,Recursos propios,False,Posting,False,2025-11-17T08:37:43.207Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
3ddb28a6-90c3-f011-bbd1-6045bdf486d0,11,Reserves,Equity,Recursos propios,False,Posting,False,2025-11-17T08:37:43.207Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
3edb28a6-90c3-f011-bbd1-6045bdf486d0,110,Share Premium,Equity,Recursos propios,False,Posting,False,2025-11-17T08:37:43.207Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
e4733b58-05fb-f011-8405-000d3aaa8b47,1100000,Share premium,Equity,Recursos propios,False,Posting,True,2026-01-26T23:10:35.457Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
3fdb28a6-90c3-f011-bbd1-6045bdf486d0,111,"Other Capital Instr., Heading",Equity,Recursos propios,False,Posting,False,2025-11-17T08:37:43.21Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
40db28a6-90c3-f011-bbd1-6045bdf486d0,1110,Capital Mixed Fin. Instr.,Equity,Recursos propios,False,Posting,False,2025-11-17T08:37:43.21Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
41db28a6-90c3-f011-bbd1-6045bdf486d0,1111,Other Capital Instr.,Equity,Recursos propios,False,Posting,False,2025-11-17T08:37:43.21Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
42db28a6-90c3-f011-bbd1-6045bdf486d0,112,"Legal Reserve, Heading",Equity,Recursos propios,False,Posting,False,2025-11-17T08:37:43.213Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
44db28a6-90c3-f011-bbd1-6045bdf486d0,113,Voluntary Reserves,Equity,Recursos propios,False,Posting,False,2025-11-17T08:37:43.213Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
45db28a6-90c3-f011-bbd1-6045bdf486d0,1130000,Voluntary Reserve,Equity,Recursos propios,False,Posting,True,2026-01-26T22:23:03.197Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
46db28a6-90c3-f011-bbd1-6045bdf486d0,114,Special Reserves,Equity,Recursos propios,False,Posting,False,2025-11-17T08:37:43.217Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
47db28a6-90c3-f011-bbd1-6045bdf486d0,1140,Major Partner Shares Reserves,Equity,Recursos propios,False,Posting,False,2025-11-17T08:37:43.217Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
48db28a6-90c3-f011-bbd1-6045bdf486d0,1141,Statutory Reserves,Equity,Recursos propios,False,Posting,False,2025-11-17T08:37:43.217Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
49db28a6-90c3-f011-bbd1-6045bdf486d0,1142,Depr. Capital Reserve,Equity,Recursos propios,False,Posting,False,2025-11-17T08:37:43.22Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
4adb28a6-90c3-f011-bbd1-6045bdf486d0,1143,Goodwill Reserves,Equity,Recursos propios,False,Posting,False,2025-11-17T08:37:43.22Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
4bdb28a6-90c3-f011-bbd1-6045bdf486d0,1144,Own shares as guarantee Reser.,Equity,Recursos propios,False,Posting,False,2025-11-17T08:37:43.22Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
4cdb28a6-90c3-f011-bbd1-6045bdf486d0,115,"Gains & Loss Reserves and adj., Heading",Equity,Recursos propios,False,Posting,False,2025-11-17T08:37:43.22Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
4ddb28a6-90c3-f011-bbd1-6045bdf486d0,1150001,Gains & Loss Reserves and adj.,Equity,Recursos propios,False,Posting,True,2025-11-17T08:37:43.223Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
4edb28a6-90c3-f011-bbd1-6045bdf486d0,118,Partners or Owner investments,Equity,Recursos propios,False,Posting,False,2025-11-17T08:37:43.223Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
eea066a0-05fb-f011-8405-000d3aaa8b47,1180000,Contributions from equity holders or owners,Equity,Recursos propios,False,Posting,True,2026-01-26T23:10:35.473Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
4fdb28a6-90c3-f011-bbd1-6045bdf486d0,119,Dif. Capital Exch Euro,Equity,Recursos propios,False,Posting,False,2025-11-17T08:37:43.223Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
50db28a6-90c3-f011-bbd1-6045bdf486d0,12,Unapplied Results,Equity,Recursos propios,False,Posting,False,2025-11-17T08:37:43.223Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
27db28a6-90c3-f011-bbd1-6045bdf486d0,120,Ganancias retenidas,Equity,Recursos propios,False,Posting,False,2025-11-17T08:37:43.227Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
6dc076de-05fb-f011-8405-000d3aaa8b47,1200000,Prior periods’ profits,Equity,Recursos propios,False,Posting,True,2026-01-26T23:10:35.477Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
51db28a6-90c3-f011-bbd1-6045bdf486d0,121,Accumulated Losses,Equity,Recursos propios,False,Posting,False,2025-11-17T08:37:43.23Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
5aa210c2-05fb-f011-8405-000d3aaa8b47,1210000,Prior periods’ losses,Equity,Recursos propios,False,Posting,True,2026-01-26T23:10:35.477Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
52db28a6-90c3-f011-bbd1-6045bdf486d0,129,"Profit or Loss, Heading",Equity,Recursos propios,False,Posting,False,2025-11-17T08:37:43.233Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
53db28a6-90c3-f011-bbd1-6045bdf486d0,1290000,Profit or Loss,Equity,Recursos propios,False,Posting,True,2026-01-26T22:23:52.11Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
54db28a6-90c3-f011-bbd1-6045bdf486d0,13,"Subv., Grants and Curr. Exch.",Equity,Recursos propios,False,Posting,False,2025-11-17T08:37:43.233Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
55db28a6-90c3-f011-bbd1-6045bdf486d0,130,"Official Subv., Heading",Equity,Recursos propios,False,Posting,False,2025-11-17T08:37:43.237Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
944421ac-90c3-f011-bbd1-6045bdf486d0,1300,"Vehículos, Inicio-Total",Assets,Equipo,False,Begin_x002D_Total,False,2025-11-17T08:37:43.237Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
57db28a6-90c3-f011-bbd1-6045bdf486d0,131,"Grants and legacies, Heading",Equity,Recursos propios,False,Posting,False,2025-11-17T08:37:43.243Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
59db28a6-90c3-f011-bbd1-6045bdf486d0,132,"Other Subv. grants and leg., Heading",Equity,Recursos propios,False,Posting,False,2025-11-17T08:37:43.243Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
5bdb28a6-90c3-f011-bbd1-6045bdf486d0,133,"Value Adj. Fin. A. For Sale, Heading",Equity,Recursos propios,False,Posting,False,2025-11-17T08:37:43.247Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
5cdb28a6-90c3-f011-bbd1-6045bdf486d0,1330,Value Adj. Fin. A. For Sale,Equity,Recursos propios,False,Posting,False,2025-11-17T08:37:43.247Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
5edb28a6-90c3-f011-bbd1-6045bdf486d0,134,Coverage Operations,Equity,Recursos propios,False,Posting,False,2025-11-17T08:37:43.25Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
5fdb28a6-90c3-f011-bbd1-6045bdf486d0,1340,"Cash Flow Coverage, Heading",Equity,Recursos propios,False,Posting,False,2025-11-17T08:37:43.257Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
61db28a6-90c3-f011-bbd1-6045bdf486d0,1341,"Net Invest. Cov. Abroad, Heading",Equity,Recursos propios,False,Posting,False,2025-11-17T08:37:43.257Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
63db28a6-90c3-f011-bbd1-6045bdf486d0,135,"Conversion Differences, Heading",Equity,Recursos propios,False,Posting,False,2025-11-17T08:37:43.26Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
65db28a6-90c3-f011-bbd1-6045bdf486d0,136,"Value Adj Noncurrent A & Sale, Heading",Equity,Recursos propios,False,Posting,False,2025-11-17T08:37:43.263Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
67db28a6-90c3-f011-bbd1-6045bdf486d0,137,Fiscal Inc. Ret. Prev Years,Equity,Recursos propios,False,Posting,False,2025-11-17T08:37:43.267Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
68db28a6-90c3-f011-bbd1-6045bdf486d0,1370,"Fiscal Inc. Dif Ret Prev Years, Heading",Equity,Recursos propios,False,Posting,False,2025-11-17T08:37:43.267Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
6adb28a6-90c3-f011-bbd1-6045bdf486d0,1371,Fiscal Inc. Deduct & Discounts,Equity,Recursos propios,False,Posting,False,2025-11-17T08:37:43.267Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
6bdb28a6-90c3-f011-bbd1-6045bdf486d0,14,Provisions Group,Equity,Recursos propios,False,Posting,False,2025-11-17T08:37:43.267Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
6cdb28a6-90c3-f011-bbd1-6045bdf486d0,140,"Provision for Pensions, Equity",Equity,Recursos propios,False,Posting,False,2025-11-17T08:37:43.27Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
6ddb28a6-90c3-f011-bbd1-6045bdf486d0,141,"Taxation Reserve, Equity",Equity,Recursos propios,False,Posting,False,2025-11-17T08:37:43.27Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
6edb28a6-90c3-f011-bbd1-6045bdf486d0,142,Provision for Responsibilities,Equity,Recursos propios,False,Posting,False,2025-11-17T08:37:43.273Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
6fdb28a6-90c3-f011-bbd1-6045bdf486d0,143,Provision for Mayor Repairs,Equity,Recursos propios,False,Posting,False,2025-11-17T08:37:43.273Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
70db28a6-90c3-f011-bbd1-6045bdf486d0,145,"Prov. for environmental act., Equity",Equity,Recursos propios,False,Posting,False,2025-11-17T08:37:43.273Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
71db28a6-90c3-f011-bbd1-6045bdf486d0,146,Provision for restructuring,Equity,Recursos propios,False,Posting,False,2025-11-17T08:37:43.273Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
72db28a6-90c3-f011-bbd1-6045bdf486d0,147,Prov. Paym Trans Capital Inst,Equity,Recursos propios,False,Posting,False,2025-11-17T08:37:43.277Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
73db28a6-90c3-f011-bbd1-6045bdf486d0,15,Special LT Debts,Equity,Recursos propios,False,Posting,False,2025-11-17T08:37:43.277Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
74db28a6-90c3-f011-bbd1-6045bdf486d0,150,LT Shares Liability,Equity,Recursos propios,False,Posting,False,2025-11-17T08:37:43.277Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
