id,dimensionCode,dimensionValueCode,dimensionValueName,dimensionValueId,dimensionValueType,blocked,indentation,consolidationCode,globalDimensionNumber,lastModifiedDateTime,company_id,company_name
58677e76-dbeb-f011-8542-00224888763f,CTRY,AD,Andorra,2,Standard,False,0,,1,2026-02-16T07:48:10.623Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
59677e76-dbeb-f011-8542-00224888763f,CTRY,AE,United Arab Emirates (the),3,Standard,False,0,,1,2026-02-16T07:48:10.623Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
5a677e76-dbeb-f011-8542-00224888763f,CTRY,AL,Albania,4,Standard,False,0,,1,2026-02-16T07:48:10.623Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
5b677e76-dbeb-f011-8542-00224888763f,CTRY,AR,Argentina,5,Standard,False,0,,1,2026-02-16T07:48:10.623Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
5c677e76-dbeb-f011-8542-00224888763f,CTRY,AT,Austria,6,Standard,False,0,,1,2026-02-16T07:48:10.623Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
5d677e76-dbeb-f011-8542-00224888763f,CTRY,AU,Australia,7,Standard,False,0,,1,2026-02-16T07:48:10.623Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
5e677e76-dbeb-f011-8542-00224888763f,CTRY,AZ,Azerbaijan,8,Standard,False,0,,1,2026-02-16T07:48:10.623Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
5f677e76-dbeb-f011-8542-00224888763f,CTRY,BA,Bosnia and Herzegovina,9,Standard,False,0,,1,2026-02-16T07:48:10.623Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
60677e76-dbeb-f011-8542-00224888763f,CTRY,BB,Barbados,10,Standard,False,0,,1,2026-02-16T07:48:10.623Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
2d3ea348-dbeb-f011-8542-00224888763f,CTRY,BE,Belgium,1,Standard,False,0,,1,2026-02-16T07:48:10.623Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
61677e76-dbeb-f011-8542-00224888763f,CTRY,BG,Bulgaria,11,Standard,False,0,,1,2026-02-16T07:48:10.623Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
62677e76-dbeb-f011-8542-00224888763f,CTRY,BM,Bermuda,12,Standard,False,0,,1,2026-02-16T07:48:10.623Z,e4333074-90c3-f011-bbd1-6045bdf486d0,MEDIA FRANCE 2
